the_geom,FECHA_DE_I,TIPO_DE_IN,CODIGO_ARB,ESPECIE,NOMBRE_COM,MUNICIPIO,COMUNA,BARRIO,DIRECCION,LATITUD,LONGITUD,ESTRATO
POINT (-75.5694268 6.22125865),2023 Sep 16 12:00:00 AM,Poda de Mantenimiento,114.040.000.254,Cenostigma pluviosum,"Acacia amarilla, Palo Brasil",Medellín,El Poblado,Castropol,"Carrera 43A N 19-130, Separador Vial","6,22125865","-75,5694268",3
POINT (-75.5701147 6.22024995),2023 Jun 29 12:00:00 AM,Poda de Mantenimiento,114.030.050.563,Bambusa vulgaris,"Bambú, guadua amarilla, bambú amarillo",Medellín,El Poblado,Villa Carlota,Carrera 43B N 18-71,"6,22024995","-75,5701147",3
POINT (-75.5965191 6.22015322),2023 Nov 16 12:00:00 AM,Poda de Mantenimiento,116.060.150.113,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,Belén,Las Playas,"Calle 13 N 73-59, Parte Trasera, Zona Verde","6,22015322","-75,5965191",3
POINT (-75.5845551 6.22014188),2023 Dec 02 12:00:00 AM,Poda de Mantenimiento,115.040.001.582,Adonidia merrillii,"Manila, palma manila, palma de manila, palma navidad",Medellín,Guayabal,Santa Fé,Calle 16 N 59-74,"6,22014188","-75,5845551",3
POINT (-75.5963146 6.21999656),2023 Nov 16 12:00:00 AM,Poda de Mantenimiento,116.060.150.110,Mangifera indica,"Mango, mango canime, mango chancleto, mango de azúcar, mango de chupa",Medellín,Belén,Las Playas,"Calle 13 N 73-61, Parte Trasera, Zona Verde","6,21999656","-75,5963146",3
POINT (-75.5695839 6.21937626),2023 Apr 22 12:00:00 AM,Poda de Mantenimiento,114.030.000.686,Cenostigma pluviosum,"Acacia amarilla, Palo Brasil",Medellín,El Poblado,Villa Carlota,Carrera 43A N 17 - Separador vial Avenida El Poblado,"6,21937626","-75,5695839",3
POINT (-75.5696495 6.21904229),2023 Apr 22 12:00:00 AM,Poda de Mantenimiento,114.030.000.703,Spathodea campanulata,"Tulipán Africano, Miona",Medellín,El Poblado,Villa Carlota,"Calle 43A N 16B - 150, separador vial Avenida El Poblado.","6,21904229","-75,5696495",3
POINT (-75.5670983 6.21855864),2023 Jun 30 12:00:00 AM,Poda de Mantenimiento,114.040.010.988,Flacourtia indica,"Cerezo del gobernador, ciruela del gobernador, ciruelo del gobernador, uva lisa",Medellín,El Poblado,Castropol,Carrera 40B N 17-188,"6,21855864","-75,5670983",3
POINT (-75.5951205 6.2183451),2023 Aug 15 12:00:00 AM,Poda de Mantenimiento,116.060.110.708,Pinus patula,"Pino pátula, pino, pino espátula, barbas de chivo, pino llorón",Medellín,Belén,Las Playas,"Calle 10 N 72-00, Cancha de arenilla Belén Las Playas.","6,2183451","-75,5951205",3
POINT (-75.5698567 6.21814038),2023 Apr 22 12:00:00 AM,Poda de Mantenimiento,114.030.000.714,Cojoba arborea,"Carbonero zorro, cojoba, dormilón",Medellín,El Poblado,Villa Carlota,Carrera 43A N 16B-28 Separador vial Avenida El Poblado,"6,21814038","-75,5698567",3
POINT (-75.5928914 6.21796699),2023 Oct 13 12:00:00 AM,Poda de Mantenimiento,116.060.000.414,Jacaranda mimosifolia,"Jacaranda, gualanday",Medellín,Belén,Las Playas,"Carrera 70 N 10-07, Al Frente, Separador Central","6,21796699","-75,5928914",3
POINT (-75.569917 6.21758642),2023 Apr 22 12:00:00 AM,Poda de Mantenimiento,114.030.000.723,Cenostigma pluviosum,"Acacia amarilla, Palo Brasil",Medellín,El Poblado,Villa Carlota,"Calle 43A N 16 - 75, separador vial Avenida El Poblado.","6,21758642","-75,569917",3
POINT (-75.6056801 6.21744179),2023 Sep 04 12:00:00 AM,Poda de Mantenimiento,170.110.010.051,Terminalia ivorensis,"Terminalia, almendro ovirensis",Medellín,Corregimiento de Altavista,Área de Expansión Belén Rincón,Carrera 81 N 4G-65 Costado Norte de la dirección sendero peatonal del Inder,"6,21744179","-75,6056801",3
POINT (-75.5699325 6.21728378),2023 Apr 22 12:00:00 AM,Poda de Mantenimiento,114.030.000.728,Cenostigma pluviosum,"Acacia amarilla, Palo Brasil",Medellín,El Poblado,Villa Carlota,"Calle 43A N 16 - 30, separador vial Avenida El Poblado","6,21728378","-75,5699325",3
POINT (-75.6017649 6.21697775),2023 Oct 23 12:00:00 AM,Poda de Mantenimiento,116.110.030.487,Pachira speciosa,"Cacao de monte, ceibo de agua,castaño, cacao, sapotolongo, castaño silvestre",Medellín,Belén,La Loma de Los Bernal,Calle 5 N 76A-150,"6,21697775","-75,6017649",3
POINT (-75.5713276 6.21630749),2023 Apr 14 12:00:00 AM,Poda de Mantenimiento,114.030.000.750,Psidium guajava,"Guayabo, guayaba, guayaba común, guayaba dulce, guayaba manzana",Medellín,El Poblado,Villa Carlota,Carrera 43D N 14A-60,"6,21630749","-75,5713276",3
POINT (-75.5713652 6.21598164),2023 Apr 14 12:00:00 AM,Poda de Mantenimiento,114.030.000.654,Margaritaria nobilis,Ojo de paloma,Medellín,El Poblado,Villa Carlota,Carrera 43D N 14A-60,"6,21598164","-75,5713652",3
POINT (-75.5886075 6.21587615),2023 Aug 18 12:00:00 AM,Poda de Mantenimiento,115.120.030.004,Handroanthus chrysanthus,"Guayacán amarillo, cañaguate, guayacán, chicalá, polvillo",Medellín,Guayabal,Parque Juan Pablo II,Carrera 65 N 8B - 91 Sobre la Cl 8B,"6,21587615","-75,5886075",3
POINT (-75.5717512 6.21583023),2023 Apr 17 12:00:00 AM,Poda de Mantenimiento,114.030.020.286,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,El Poblado,Villa Carlota,"Calle 14A N 43D-56, al frente en el parque","6,21583023","-75,5717512",3
POINT (-75.571659 6.21582964),2023 Apr 17 12:00:00 AM,Poda de Mantenimiento,114.030.020.293,Eucalyptus saligna,Eucalipto,Medellín,El Poblado,Villa Carlota,"Calle 14A N 43D-56, al frente en el parque","6,21582964","-75,571659",3
POINT (-75.5715869 6.21580844),2023 Apr 14 12:00:00 AM,Poda de Mantenimiento,114.030.020.292,Erythrina fusca,"Búcaro, chambul, cachimbo, pisamo",Medellín,El Poblado,Villa Carlota,Calle 14A 43D-15,"6,21580844","-75,5715869",3
POINT (-75.5717549 6.21564699),2023 Apr 17 12:00:00 AM,Poda de Mantenimiento,114.030.020.296,Flacourtia indica,"Cerezo del gobernador, ciruela del gobernador, ciruelo del gobernador, uva lisa",Medellín,El Poblado,Villa Carlota,"Calle 14A N 43D-56, al frente en el parque","6,21564699","-75,5717549",3
POINT (-75.5726665 6.21563931),2023 Apr 15 12:00:00 AM,Poda de Mantenimiento,114.030.080.065,Leucaena leucocephala,"Acacia blanca, leucaena, panelo, carbonero blanco, acacia forrajera",Medellín,El Poblado,Villa Carlota,Carrera 43F N 14- 50.,"6,21563931","-75,5726665",3
POINT (-75.5727815 6.21550763),2023 Apr 15 12:00:00 AM,Poda de Mantenimiento,114.030.080.069,Senna siamea,"Acacia siamea, abeto, acacio santandereano, alcaparro, acacia, carmín",Medellín,El Poblado,Villa Carlota,"Carrera 43F N 14-18 pasando la calle, zona verde","6,21550763","-75,5727815",3
POINT (-75.572809 6.21548763),2023 Apr 15 12:00:00 AM,Poda de Mantenimiento,114.030.080.070,Fraxinus uhdei,"Urapán, fresno urapán, fresno",Medellín,El Poblado,Villa Carlota,"Carrera 43F N 14-18 pasando la calle, zona verde","6,21548763","-75,572809",3
POINT (-75.5708469 6.21523746),2023 Apr 14 12:00:00 AM,Poda de Mantenimiento,114.030.010.129,Terminalia catappa,"Almendro, almendrón, almendra, almendrillo",Medellín,El Poblado,Villa Carlota,Carrera 43B N 14-48,"6,21523746","-75,5708469",3
POINT (-75.570794 6.2152029),2023 Apr 14 12:00:00 AM,Poda de Mantenimiento,114.030.010.132,Erythrina crista-galli,Cresta de gallo,Medellín,El Poblado,Villa Carlota,Carrera 43B N 14-46,"6,2152029","-75,570794",3
POINT (-75.5709937 6.21508614),2023 Apr 14 12:00:00 AM,Poda de Mantenimiento,114.030.000.738,Dypsis madagascariensis,"Lucubensis, palma lucubensis, palma de madagascar, palma anillo, palma de anillos",Medellín,El Poblado,Villa Carlota,Carrera 43B N 14-19,"6,21508614","-75,5709937",3
POINT (-75.5729557 6.21499465),2023 Apr 13 12:00:00 AM,Poda de Mantenimiento,114.190.000.569,Ficus benjamina,"Falso laurel, ficus, laurel, caucho benjamín",Medellín,El Poblado,Manila,Carrera 43F N 12-76,"6,21499465","-75,5729557",3
POINT (-75.5723812 6.21462915),2023 Apr 13 12:00:00 AM,Poda de Mantenimiento,114.190.000.675,Citrus maxima,"Naranja, Naranja agria, toronja, toronjo, pomelo, pamplemusa",Medellín,El Poblado,Manila,Carrera 43E N 13 - 13 pasando la calle,"6,21462915","-75,5723812",3
